chodba               chod-b-a
neviděl              ne-vid-ě-l
uviděl               u-vid-ě-l
potrpěl              po-trp-ě-l
škol                 škol
cíl                  cíl
zavolám              za-vol-á-m
nedělám              ne-děl-á-m
vracím               vrac-í-m
sedím                sed-í-m
vidím                vid-í-m
nevidím              ne-vid-í-m
uvidím               u-vid-í-m
napálím              na-pál-í-m
vypálím              vy-pál-í-m
trpím                trp-í-m
koupím               koup-í-m
prosím               pros-í-m
nemusím              ne-mus-í-m
zaplatím             za-plat-í-m
odpustím             od-pust-í-m
opustím              o-pust-í-m
nenutím              ne-nut-í-m
donutím              do-nut-í-m
necítím              ne-cít-í-m
nemluvím             ne-mluv-í-m
nepromluvím          ne-pro-mluv-í-m
stvořím              s-tvoř-í-m
slyším               slyš-í-m
neuslyším            ne-u-slyš-í-m
držím                drž-í-m
nevydržím            ne-vy-drž-í-m
zdržím               z-drž-í-m
běžím                běž-í-m
středem              střed-em
lesem                les-em
místem               míst-em
blátem               blát-em
světem               svět-em
faxem                fax-em
podzim               pod-zim
cen                  cen
dělalo               děl-a-l-o
udělalo              u-děl-a-l-o
stonalo              ston-a-l-o
vyžadovalo           vy-žad-ova-l-o
nevedlo              ne-ved-l-o
nepovedlo            ne-po-ved-l-o
leželo               lež-e-l-o
běželo               běž-e-l-o
chodilo              chod-i-l-o
jezdilo              jezd-i-l-o
pálilo               pál-i-l-o
spálilo              s-pál-i-l-o
topilo               top-i-l-o
platilo              plat-i-l-o
vidělo               vid-ě-l-o
jaro                 jar-o
místo                míst-o
město                měst-o
kopyto               kopyt-o
koryto               koryt-o
bláto                blát-o
dláto                dlát-o
léto                 lét-o
sever                sever
vlas                 vlas
čas                  čas
pleskat              plesk-a-t
napleskat            na-plesk-a-t
zapleskat            za-plesk-a-t
popleskat            po-plesk-a-t
zatleskat            za-tlesk-a-t
třeskat              třesk-a-t
vtiskat              v-tisk-a-t
mrskat               mrsk-a-t
namrskat             na-mrsk-a-t
zamrskat             za-mrsk-a-t
vymrskat             vy-mrsk-a-t
zmrskat              z-mrsk-a-t
prskat               prsk-a-t
poprskat             po-prsk-a-t
zaluskat             za-lusk-a-t
louskat              lousk-a-t
přelouskat           pře-lousk-a-t
vylouskat            vy-lousk-a-t
rozlouskat           roz-lousk-a-t
tryskat              trysk-a-t
práskat              prásk-a-t
napráskat            na-prásk-a-t
zapráskat            za-prásk-a-t
vypráskat            vy-prásk-a-t
plískat              plísk-a-t
pískat               písk-a-t
napískat             na-písk-a-t
odpískat             od-písk-a-t
spískat              s-písk-a-t
vypískat             vy-písk-a-t
blýskat              blýsk-a-t
zablýskat            za-blýsk-a-t
problýskat           pro-blýsk-a-t
vyblýskat            vy-blýsk-a-t
odprýskat            od-prýsk-a-t
oprýskat             o-prýsk-a-t
poprýskat            po-prýsk-a-t
rozprýskat           roz-prýsk-a-t
foukat               fouk-a-t
nafoukat             na-fouk-a-t
odfoukat             od-fouk-a-t
pofoukat             po-fouk-a-t
profoukat            pro-fouk-a-t
sfoukat              s-fouk-a-t
rozfoukat            roz-fouk-a-t
volat                vol-a-t
navolat              na-vol-a-t
zavolat              za-vol-a-t
přivolat             při-vol-a-t
nepřivolat           ne-při-vol-a-t
dovolat              do-vol-a-t
povolat              po-vol-a-t
provolat             pro-vol-a-t
vyvolat              vy-vol-a-t
zaslat               za-sl-a-t
obeslat              obe-sl-a-t
předeslat            přede-sl-a-t
odeslat              ode-sl-a-t
seslat               se-sl-a-t
rozeslat             roze-sl-a-t
vyslat               vy-sl-a-t
hatlat               hatl-a-t
matlat               matl-a-t
patlat               patl-a-t
upatlat              u-patl-a-t
rozpatlat            roz-patl-a-t
žvatlat              žvatl-a-t
nažvatlat            na-žvatl-a-t
rozžvatlat           roz-žvatl-a-t
vykotlat             vy-kotl-a-t
odestlat             ode-stl-a-t
rozestlat            roze-stl-a-t
přestlat             pře-stl-a-t
postlat              po-stl-a-t
ustlat               u-stl-a-t
vystlat              vy-stl-a-t
tutlat               tutl-a-t
ututlat              u-tutl-a-t
lulat                lul-a-t
polulat              po-lul-a-t
žmoulat              žmoul-a-t
rozžmoulat           roz-žmoul-a-t
toulat               toul-a-t
natoulat             na-toul-a-t
zatoulat             za-toul-a-t
sálat                sál-a-t
cválat               cvál-a-t
zacválat             za-cvál-a-t
odcválat             od-cvál-a-t
přicválat            při-cvál-a-t
docválat             do-cvál-a-t
vycválat             vy-cvál-a-t
podmílat             pod-míl-a-t
přemílat             pře-míl-a-t
omílat               o-míl-a-t
domílat              do-míl-a-t
vymílat              vy-míl-a-t
zasílat              za-síl-a-t
obesílat             obe-síl-a-t
předesílat           přede-síl-a-t
odesílat             ode-síl-a-t
sesílat              se-síl-a-t
rozesílat            roze-síl-a-t
posílat              po-síl-a-t
naposílat            na-po-síl-a-t
rozposílat           roz-po-síl-a-t
vysílat              vy-síl-a-t
postýlat             po-stýl-a-t
vystýlat             vy-stýl-a-t
bělat                běl-a-t
zabělat              za-běl-a-t
zbělat               z-běl-a-t
dělat                děl-a-t
nadělat              na-děl-a-t
padělat              pa-děl-a-t
zadělat              za-děl-a-t
obdělat              ob-děl-a-t
oddělat              od-děl-a-t
nedělat              ne-děl-a-t
předělat             pře-děl-a-t
přidělat             při-děl-a-t
dodělat              do-děl-a-t
podělat              po-děl-a-t
udělat               u-děl-a-t
přivydělat           při-vy-děl-a-t
rozdělat             roz-děl-a-t
vzdělat              vz-děl-a-t
kašlat               kašl-a-t
odkašlat             od-kašl-a-t
vykašlat             vy-kašl-a-t
rozkašlat            roz-kašl-a-t
hamat                ham-a-t
klamat               klam-a-t
dumat                dum-a-t
zadumat              za-dum-a-t
vydumat              vy-dum-a-t
lámat                lám-a-t
nalámat              na-lám-a-t
odlámat              od-lám-a-t
přelámat             pře-lám-a-t
olámat               o-lám-a-t
polámat              po-lám-a-t
prolámat             pro-lám-a-t
ulámat               u-lám-a-t
vylámat              vy-lám-a-t
zlámat               z-lám-a-t
rozlámat             roz-lám-a-t
jímat                jím-a-t
najímat              na-jím-a-t
pronajímat           pro-na-jím-a-t
předjímat            před-jím-a-t
podjímat             pod-jím-a-t
přejímat             pře-jím-a-t
přijímat             při-jím-a-t
dojímat              do-jím-a-t
pojímat              po-jím-a-t
projímat             pro-jím-a-t
ujímat               u-jím-a-t
vyjímat              vy-jím-a-t
rozjímat             roz-jím-a-t
dýmat                dým-a-t
nadýmat              na-dým-a-t
zadýmat              za-dým-a-t
rozdýmat             roz-dým-a-t
jednat               jedn-a-t
doobjednat           do-ob-jedn-a-t
přijednat            při-jedn-a-t
dojednat             do-jedn-a-t
pojednat             po-jedn-a-t
projednat            pro-jedn-a-t
vyjednat             vy-jedn-a-t
zelenat              zelen-a-t
zazelenat            za-zelen-a-t
červenat             červen-a-t
začervenat           za-červen-a-t
nahnat               na-hn-a-t
zahnat               za-hn-a-t
přihnat              při-hn-a-t
ohnat                o-hn-a-t
pohnat               po-hn-a-t
popohnat             po-po-hn-a-t
uhnat                u-hn-a-t
vyhnat               vy-hn-a-t
žehnat               žehn-a-t
zažehnat             za-žehn-a-t
požehnat             po-žehn-a-t
rozžehnat            roz-žehn-a-t
stonat               ston-a-t
zastonat             za-ston-a-t
odstonat             od-ston-a-t
prostonat            pro-ston-a-t
vystonat             vy-ston-a-t
rozstonat            roz-ston-a-t
kousat               kous-a-t
překousat            pře-kous-a-t
okousat              o-kous-a-t
pokousat             po-kous-a-t
prokousat            pro-kous-a-t
ukousat              u-kous-a-t
rozkousat            roz-kous-a-t
rousat               rous-a-t
zarousat             za-rous-a-t
urousat              u-rous-a-t
kysat                kys-a-t
nakysat              na-kys-a-t
zakysat              za-kys-a-t
lysat                lys-a-t
olysat               o-lys-a-t
jásat                jás-a-t
zajásat              za-jás-a-t
rozjásat             roz-jás-a-t
hlásat               hlás-a-t
pásat                pás-a-t
odpásat              od-pás-a-t
podpásat             pod-pás-a-t
připásat             při-pás-a-t
opásat               o-pás-a-t
spásat               s-pás-a-t
drásat               drás-a-t
zdrásat              z-drás-a-t
rozdrásat            roz-drás-a-t
potřebovat           po-třeb-ova-t
opotřebovat          o-po-třeb-ova-t
spotřebovat          s-po-třeb-ova-t
vypotřebovat         vy-po-třeb-ova-t
pracovat             prac-ova-t
zapracovat           za-prac-ova-t
odpracovat           od-prac-ova-t
přepracovat          pře-prac-ova-t
dopracovat           do-prac-ova-t
propracovat          pro-prac-ova-t
upracovat            u-prac-ova-t
vypracovat           vy-prac-ova-t
rozpracovat          roz-prac-ova-t
dohadovat            do-had-ova-t
uhadovat             u-had-ova-t
dožadovat            do-žad-ova-t
požadovat            po-žad-ova-t
sledovat             sled-ova-t
vysledovat           vy-sled-ova-t
děkovat              děk-ova-t
poděkovat            po-děk-ova-t
milovat              mil-ova-t
zamilovat            za-mil-ova-t
pomilovat            po-mil-ova-t
posilovat            po-sil-ova-t
usilovat             u-sil-ova-t
vysilovat            vy-sil-ova-t
kupovat              kup-ova-t
nakupovat            na-kup-ova-t
zakupovat            za-kup-ova-t
odkupovat            od-kup-ova-t
dokupovat            do-kup-ova-t
skupovat             s-kup-ova-t
operovat             oper-ova-t
vyoperovat           vy-oper-ova-t
zakazovat            za-kaz-ova-t
odkazovat            od-kaz-ova-t
překazovat           pře-kaz-ova-t
přikazovat           při-kaz-ova-t
dokazovat            do-kaz-ova-t
prokazovat           pro-kaz-ova-t
ukazovat             u-kaz-ova-t
poukazovat           po-u-kaz-ova-t
vykazovat            vy-kaz-ova-t
vzkazovat            vz-kaz-ova-t
nasazovat            na-saz-ova-t
zasazovat            za-saz-ova-t
obsazovat            ob-saz-ova-t
podsazovat           pod-saz-ova-t
sesazovat            se-saz-ova-t
přesazovat           pře-saz-ova-t
přisazovat           při-saz-ova-t
osazovat             o-saz-ova-t
dosazovat            do-saz-ova-t
posazovat            po-saz-ova-t
prosazovat           pro-saz-ova-t
usazovat             u-saz-ova-t
vsazovat             v-saz-ova-t
vysazovat            vy-saz-ova-t
rozsazovat           roz-saz-ova-t
obkračovat           ob-krač-ova-t
překračovat          pře-krač-ova-t
přikračovat          při-krač-ova-t
dokračovat           do-krač-ova-t
vykračovat           vy-krač-ova-t
rozkračovat          roz-krač-ova-t
vracet               vrac-e-t
navracet             na-vrac-e-t
odvracet             od-vrac-e-t
podvracet            pod-vrac-e-t
vyvracet             vy-vrac-e-t
zvyvracet            z-vy-vrac-e-t
zvracet              z-vrac-e-t
rozvracet            roz-vrac-e-t
předplácet           před-plác-e-t
odplácet             od-plác-e-t
přeplácet            pře-plác-e-t
připlácet            při-plác-e-t
oplácet              o-plác-e-t
proplácet            pro-plác-e-t
splácet              s-plác-e-t
uplácet              u-plác-e-t
vyplácet             vy-plác-e-t
muset                mus-e-t
nemuset              ne-mus-e-t
oslyšet              o-slyš-e-t
vyslyšet             vy-slyš-e-t
ležet                lež-e-t
naležet              na-lež-e-t
přeležet             pře-lež-e-t
poležet              po-lež-e-t
proležet             pro-lež-e-t
uležet               u-lež-e-t
vyležet              vy-lež-e-t
rozležet             roz-lež-e-t
držet                drž-e-t
nadržet              na-drž-e-t
předržet             pře-drž-e-t
dodržet              do-drž-e-t
podržet              po-drž-e-t
vydržet              vy-drž-e-t
zdržet               z-drž-e-t
pozdržet             po-z-drž-e-t
běžet                běž-e-t
chodit               chod-i-t
nachodit             na-chod-i-t
přechodit            pře-chod-i-t
dochodit             do-chod-i-t
pochodit             po-chod-i-t
prochodit            pro-chod-i-t
uchodit              u-chod-i-t
rozchodit            roz-chod-i-t
soudit               soud-i-t
odsoudit             od-soud-i-t
přisoudit            při-soud-i-t
dosoudit             do-soud-i-t
prosoudit            pro-soud-i-t
usoudit              u-soud-i-t
vysoudit             vy-soud-i-t
rozsoudit            roz-soud-i-t
jezdit               jezd-i-t
najezdit             na-jezd-i-t
zajezdit             za-jezd-i-t
objezdit             ob-jezd-i-t
pojezdit             po-jezd-i-t
projezdit            pro-jezd-i-t
ujezdit              u-jezd-i-t
vyjezdit             vy-jezd-i-t
rozjezdit            roz-jezd-i-t
pálit                pál-i-t
napálit              na-pál-i-t
zapálit              za-pál-i-t
odpálit              od-pál-i-t
podpálit             pod-pál-i-t
opálit               o-pál-i-t
dopálit              do-pál-i-t
popálit              po-pál-i-t
propálit             pro-pál-i-t
spálit               s-pál-i-t
upálit               u-pál-i-t
vpálit               v-pál-i-t
vypálit              vy-pál-i-t
rozpálit             roz-pál-i-t
bílit                bíl-i-t
nabílit              na-bíl-i-t
zabílit              za-bíl-i-t
přebílit             pře-bíl-i-t
obílit               o-bíl-i-t
dobílit              do-bíl-i-t
vybílit              vy-bíl-i-t
cílit                cíl-i-t
zacílit              za-cíl-i-t
docílit              do-cíl-i-t
pílit                píl-i-t
popílit              po-píl-i-t
posílit              po-síl-i-t
vysílit              vy-síl-i-t
lomit                lom-i-t
nalomit              na-lom-i-t
zalomit              za-lom-i-t
oblomit              ob-lom-i-t
odlomit              od-lom-i-t
přelomit             pře-lom-i-t
prolomit             pro-lom-i-t
zlomit               z-lom-i-t
rozlomit             roz-lom-i-t
krmit                krm-i-t
nakrmit              na-krm-i-t
překrmit             pře-krm-i-t
prokrmit             pro-krm-i-t
vykrmit              vy-krm-i-t
topit                top-i-t
zatopit              za-top-i-t
předtopit            před-top-i-t
přetopit             pře-top-i-t
přitopit             při-top-i-t
dotopit              do-top-i-t
potopit              po-top-i-t
utopit               u-top-i-t
vytopit              vy-top-i-t
roztopit             roz-top-i-t
koupit               koup-i-t
nakoupit             na-koup-i-t
zakoupit             za-koup-i-t
odkoupit             od-koup-i-t
přikoupit            při-koup-i-t
dokoupit             do-koup-i-t
skoupit              s-koup-i-t
vykoupit             vy-koup-i-t
honosit              honos-i-t
prosit               pros-i-t
naprosit             na-pros-i-t
zaprosit             za-pros-i-t
odprosit             od-pros-i-t
poprosit             po-pros-i-t
zakusit              za-kus-i-t
okusit               o-kus-i-t
navěsit              na-věs-i-t
zavěsit              za-věs-i-t
převěsit             pře-věs-i-t
ověsit               o-věs-i-t
pověsit              po-věs-i-t
rozvěsit             roz-věs-i-t
platit               plat-i-t
naplatit             na-plat-i-t
zaplatit             za-plat-i-t
předplatit           před-plat-i-t
odplatit             od-plat-i-t
přeplatit            pře-plat-i-t
připlatit            při-plat-i-t
oplatit              o-plat-i-t
poplatit             po-plat-i-t
proplatit            pro-plat-i-t
splatit              s-plat-i-t
vplatit              v-plat-i-t
vyplatit             vy-plat-i-t
pustit               pust-i-t
napustit             na-pust-i-t
zapustit             za-pust-i-t
odpustit             od-pust-i-t
přepustit            pře-pust-i-t
připustit            při-pust-i-t
opustit              o-pust-i-t
popustit             po-pust-i-t
propustit            pro-pust-i-t
spustit              s-pust-i-t
upustit              u-pust-i-t
vpustit              v-pust-i-t
vypustit             vy-pust-i-t
rozpustit            roz-pust-i-t
nutit                nut-i-t
přinutit             při-nut-i-t
donutit              do-nut-i-t
vnutit               v-nut-i-t
cítit                cít-i-t
necítit              ne-cít-i-t
pocítit              po-cít-i-t
procítit             pro-cít-i-t
ucítit               u-cít-i-t
vcítit               v-cít-i-t
vycítit              vy-cít-i-t
mluvit               mluv-i-t
namluvit             na-mluv-i-t
zamluvit             za-mluv-i-t
přemluvit            pře-mluv-i-t
přimluvit            při-mluv-i-t
domluvit             do-mluv-i-t
pomluvit             po-mluv-i-t
promluvit            pro-mluv-i-t
umluvit              u-mluv-i-t
vymluvit             vy-mluv-i-t
rozmluvit            roz-mluv-i-t
vařit                vař-i-t
navařit              na-vař-i-t
předvařit            před-vař-i-t
odvařit              od-vař-i-t
převařit             pře-vař-i-t
přivařit             při-vař-i-t
ovařit               o-vař-i-t
povařit              po-vař-i-t
uvařit               u-vař-i-t
vyvařit              vy-vař-i-t
tvořit               tvoř-i-t
znetvořit            z-ne-tvoř-i-t
přetvořit            pře-tvoř-i-t
dotvořit             do-tvoř-i-t
potvořit             po-tvoř-i-t
stvořit              s-tvoř-i-t
utvořit              u-tvoř-i-t
sušit                suš-i-t
osušit               o-suš-i-t
usušit               u-suš-i-t
vysušit              vy-suš-i-t
padnout              pad-nou-t
napadnout            na-pad-nou-t
zapadnout            za-pad-nou-t
odpadnout            od-pad-nou-t
připadnout           při-pad-nou-t
opadnout             o-pad-nou-t
propadnout           pro-pad-nou-t
spadnout             s-pad-nou-t
vypadnout            vy-pad-nou-t
rozpadnout           roz-pad-nou-t
vládnout             vlád-nou-t
zavládnout           za-vlád-nou-t
ovládnout            o-vlád-nou-t
zvládnout            z-vlád-nou-t
napomenout           na-po-me-nou-t
zapomenout           za-po-me-nou-t
pozapomenout         po-za-po-me-nou-t
opomenout            o-po-me-nou-t
upomenout            u-po-me-nou-t
vzpomenout           vz-po-me-nou-t
vyvzpomenout         vy-vz-po-me-nou-t
táhnout              táh-nou-t
zatáhnout            za-táh-nou-t
obtáhnout            ob-táh-nou-t
odtáhnout            od-táh-nou-t
přetáhnout           pře-táh-nou-t
dotáhnout            do-táh-nou-t
potáhnout            po-táh-nou-t
protáhnout           pro-táh-nou-t
stáhnout             s-táh-nou-t
utáhnout             u-táh-nou-t
vtáhnout             v-táh-nou-t
vytáhnout            vy-táh-nou-t
roztáhnout           roz-táh-nou-t
naseknout            na-sek-nou-t
seseknout            se-sek-nou-t
přeseknout           pře-sek-nou-t
přiseknout           při-sek-nou-t
poseknout            po-sek-nou-t
proseknout           pro-sek-nou-t
useknout             u-sek-nou-t
vyseknout            vy-sek-nou-t
rozseknout           roz-sek-nou-t
vzteknout            vz-tek-nou-t
nařeknout            na-řek-nou-t
zařeknout            za-řek-nou-t
podřeknout           pod-řek-nou-t
přeřeknout           pře-řek-nou-t
prořeknout           pro-řek-nou-t
uřeknout             u-řek-nou-t
fiknout              fik-nou-t
ufiknout             u-fik-nou-t
bliknout             blik-nou-t
šmiknout             šmik-nou-t
přešmiknout          pře-šmik-nou-t
zaniknout            za-nik-nou-t
podniknout           pod-nik-nou-t
proniknout           pro-nik-nou-t
uniknout             u-nik-nou-t
vzniknout            vz-nik-nou-t
tisknout             tisk-nou-t
natisknout           na-tisk-nou-t
obtisknout           ob-tisk-nou-t
předtisknout         před-tisk-nou-t
přetisknout          pře-tisk-nou-t
přitisknout          při-tisk-nou-t
otisknout            o-tisk-nou-t
dotisknout           do-tisk-nou-t
potisknout           po-tisk-nou-t
protisknout          pro-tisk-nou-t
stisknout            s-tisk-nou-t
vtisknout            v-tisk-nou-t
vytisknout           vy-tisk-nou-t
trsnout              trs-nou-t
kousnout             kous-nou-t
nakousnout           na-kous-nou-t
zakousnout           za-kous-nou-t
překousnout          pře-kous-nou-t
přikousnout          při-kous-nou-t
prokousnout          pro-kous-nou-t
skousnout            s-kous-nou-t
ukousnout            u-kous-nou-t
vykousnout           vy-kous-nou-t
rozkousnout          roz-kous-nou-t
kysnout              kys-nou-t
nakysnout            na-kys-nou-t
zakysnout            za-kys-nou-t
zabásnout            za-bás-nou-t
propásnout           pro-pás-nou-t
přečísnout           pře-čís-nou-t
